Label (Grouping),Median income (dollars)
        Margin of Error,"±16,533"
"Census Tract 9008.04, Los Angeles County, California",
    Households,
        Estimate,"40,301"
        Margin of Error,"±9,253"
    Families,
        Estimate,"45,406"
        Margin of Error,"±2,898"
    Married-couple families,
        Estimate,"57,794"
        Margin of Error,"±15,762"
    Nonfamily households,
        Estimate,"16,094"
        Margin of Error,"±5,935"
"Census Tract 9008.05, Los Angeles County, California",
    Households,
        Estimate,"63,574"
        Margin of Error,"±4,634"
    Families,
        Estimate,"66,750"
        Margin of Error,"±9,101"
    Married-couple families,
        Estimate,"71,827"
        Margin of Error,"±18,843"
    Nonfamily households,
        Estimate,"29,353"
        Margin of Error,"±14,474"
"Census Tract 9008.06, Los Angeles County, California",
    Households,
        Estimate,"21,604"
        Margin of Error,"±4,036"
    Families,
        Estimate,"35,374"
        Margin of Error,"±5,752"
    Married-couple families,
        Estimate,"46,538"
        Margin of Error,"±23,704"
    Nonfamily households,
        Estimate,"13,108"
        Margin of Error,"±4,229"
"Census Tract 9009, Los Angeles County, California",
    Households,
        Estimate,"54,066"
        Margin of Error,"±12,999"
    Families,
        Estimate,"85,278"
        Margin of Error,"±17,265"
    Married-couple families,
        Estimate,"89,839"
        Margin of Error,"±15,667"
    Nonfamily households,
        Estimate,"25,964"
        Margin of Error,"±11,640"
"Census Tract 9010.03, Los Angeles County, California",
    Households,
        Estimate,-
        Margin of Error,**
    Families,
        Estimate,-
        Margin of Error,**
    Married-couple families,
        Estimate,-
        Margin of Error,**
    Nonfamily households,
        Estimate,-
        Margin of Error,**
"Census Tract 9010.04, Los Angeles County, California",
    Households,
        Estimate,"98,694"
        Margin of Error,"±12,766"
    Families,
        Estimate,"103,183"
        Margin of Error,"±8,624"
    Married-couple families,
        Estimate,"109,423"
        Margin of Error,"±10,805"
    Nonfamily households,
        Estimate,"63,690"
        Margin of Error,"±18,518"
"Census Tract 9010.07, Los Angeles County, California",
    Households,
